ticket_id,customer_id,created_date,category,priority,status,resolution_time_hours,description
TKT-009376,CUST-01831,2025-10-08 10:00:00,billing,critical,resolved,3.0,Payment processing error reported — double charge on credit card.
TKT-009377,CUST-03472,2025-04-09 09:00:00,technical,critical,resolved,20.4,DNS resolution failures reported across multiple devices.
TKT-009378,CUST-00975,2025-02-13 14:00:00,technical,medium,escalated,,DNS resolution failures reported across multiple devices.
TKT-009379,CUST-03116,2025-11-14 15:00:00,technical,low,resolved,3.3,VoIP call quality degradation — choppy audio and latency.
TKT-009380,CUST-03779,2025-07-22 10:00:00,billing,low,escalated,,Customer requesting breakdown of charges on monthly statement.
TKT-009381,CUST-04856,2025-07-07 18:00:00,billing,low,resolved,5.5,Customer asking about proration after mid-cycle plan change.
TKT-009382,CUST-02198,2025-06-07 16:00:00,technical,low,resolved,12.9,Email service not syncing on mobile device.
TKT-009383,CUST-01996,2025-06-25 08:00:00,general,medium,escalated,,Customer requesting update to account contact information.
TKT-009384,CUST-02786,2025-09-22 18:00:00,billing,low,resolved,26.2,Customer inquired about unexpected charge on their latest bill.
TKT-009385,CUST-03464,2025-08-08 13:00:00,billing,medium,open,,Customer requesting breakdown of charges on monthly statement.
TKT-009386,CUST-04279,2025-11-30 12:00:00,technical,medium,escalated,,Email service not syncing on mobile device.
TKT-009387,CUST-01025,2025-01-16 15:00:00,general,critical,resolved,31.2,Question about service availability at a new address.
TKT-009388,CUST-01924,2025-11-16 09:00:00,technical,medium,resolved,21.1,Wi-Fi signal weak in parts of the home — requesting range extender.
TKT-009389,CUST-00941,2025-12-24 14:00:00,general,low,escalated,,Question about service availability at a new address.
TKT-009390,CUST-04269,2025-06-25 13:00:00,technical,medium,resolved,9.5,DNS resolution failures reported across multiple devices.
TKT-009391,CUST-02551,2025-06-12 17:00:00,technical,critical,resolved,38.7,VoIP call quality degradation — choppy audio and latency.
TKT-009392,CUST-03666,2025-05-02 09:00:00,technical,low,resolved,21.8,DNS resolution failures reported across multiple devices.
TKT-009393,CUST-01045,2025-03-09 15:00:00,billing,low,resolved,24.9,Request to change billing date to align with pay schedule.
TKT-009394,CUST-02269,2025-02-11 08:00:00,cancellation,critical,resolved,13.1,Customer threatening to cancel unless given a better rate.
TKT-009395,CUST-03974,2025-09-15 15:00:00,cancellation,medium,resolved,39.2,Cancellation request — customer relocating out of service area.
TKT-009396,CUST-01203,2025-01-10 12:00:00,technical,medium,resolved,18.8,Router not connecting after power outage — needs reset instructions.
TKT-009397,CUST-02680,2025-01-18 19:00:00,general,critical,resolved,18.5,Customer asking about available loyalty rewards.
TKT-009398,CUST-03538,2025-11-11 08:00:00,cancellation,critical,escalated,,Customer threatening to cancel unless given a better rate.
TKT-009399,CUST-03240,2025-05-04 10:00:00,general,critical,resolved,3.1,Customer inquiring about referral program benefits.
TKT-009400,CUST-01823,2025-02-13 18:00:00,general,medium,escalated,,Customer requesting update to account contact information.
TKT-009401,CUST-00730,2025-06-04 10:00:00,billing,medium,escalated,,Customer asking about proration after mid-cycle plan change.
TKT-009402,CUST-04239,2025-05-02 08:00:00,cancellation,high,resolved,12.9,Cancellation request — customer relocating out of service area.
TKT-009403,CUST-03977,2025-02-16 08:00:00,billing,high,escalated,,Customer requesting breakdown of charges on monthly statement.
TKT-009404,CUST-03048,2025-01-30 10:00:00,cancellation,critical,open,,Customer wants to cancel service — moving to a new provider.
TKT-009405,CUST-00050,2025-01-04 08:00:00,general,low,resolved,14.6,Customer inquiring about referral program benefits.
TKT-009406,CUST-04338,2025-02-12 19:00:00,billing,medium,resolved,11.7,Dispute over billing amount — customer claims overcharge for current cycle.
TKT-009407,CUST-04352,2025-06-24 16:00:00,general,low,open,,Customer inquiring about referral program benefits.
TKT-009408,CUST-02258,2025-06-22 15:00:00,billing,high,open,,Customer requesting breakdown of charges on monthly statement.
TKT-009409,CUST-03597,2025-11-26 11:00:00,general,low,resolved,4.5,Request for copy of service agreement.
TKT-009410,CUST-04129,2025-02-05 10:00:00,technical,high,open,,Email service not syncing on mobile device.
TKT-009411,CUST-02576,2025-11-04 17:00:00,upgrade,critical,escalated,,Customer exploring premium channel add-on options.
TKT-009412,CUST-03768,2025-03-18 15:00:00,general,medium,resolved,9.4,Customer inquiring about referral program benefits.
TKT-009413,CUST-01246,2025-11-24 19:00:00,billing,low,resolved,4.8,Payment processing error reported — double charge on credit card.
TKT-009414,CUST-00522,2025-07-23 16:00:00,upgrade,low,resolved,184.2,Request to add international calling to phone plan.
TKT-009415,CUST-00925,2025-12-07 11:00:00,technical,medium,resolved,66.4,Email service not syncing on mobile device.
TKT-009416,CUST-02181,2025-11-04 14:00:00,upgrade,low,resolved,81.5,Customer exploring premium channel add-on options.
TKT-009417,CUST-04856,2025-07-23 08:00:00,billing,critical,resolved,20.6,Late fee dispute — customer says payment was submitted on time.
TKT-009418,CUST-03864,2025-07-05 11:00:00,technical,critical,escalated,,Router not connecting after power outage — needs reset instructions.
TKT-009419,CUST-00020,2025-03-16 13:00:00,billing,low,resolved,11.3,Dispute over billing amount — customer claims overcharge for current cycle.
TKT-009420,CUST-04315,2025-03-10 15:00:00,billing,medium,resolved,10.0,Customer confused about taxes and surcharges on bill.
TKT-009421,CUST-00561,2025-10-14 19:00:00,upgrade,low,open,,Inquiry about bundle discount for adding mobile service.
TKT-009422,CUST-01328,2025-03-04 19:00:00,billing,medium,resolved,1.2,Customer asking about proration after mid-cycle plan change.
TKT-009423,CUST-04210,2025-02-08 11:00:00,general,high,open,,General inquiry about contract renewal terms.
TKT-009424,CUST-02556,2025-07-10 13:00:00,upgrade,critical,resolved,39.3,Request to add international calling to phone plan.
TKT-009425,CUST-00020,2025-07-07 19:00:00,technical,low,resolved,58.2,Intermittent internet connectivity — customer reports frequent drops.
TKT-009426,CUST-00428,2025-06-18 17:00:00,billing,critical,resolved,10.7,Dispute over billing amount — customer claims overcharge for current cycle.
TKT-009427,CUST-04073,2025-12-23 15:00:00,technical,medium,resolved,16.9,DNS resolution failures reported across multiple devices.
TKT-009428,CUST-01094,2025-01-19 16:00:00,technical,critical,resolved,14.9,Slow download speeds not matching subscribed plan tier.
TKT-009429,CUST-02363,2025-10-13 13:00:00,billing,high,escalated,,Request to change billing date to align with pay schedule.
TKT-009430,CUST-00024,2025-11-05 13:00:00,technical,low,resolved,44.4,Email service not syncing on mobile device.
TKT-009431,CUST-03983,2025-10-12 12:00:00,general,low,resolved,52.5,General inquiry about contract renewal terms.
TKT-009432,CUST-03421,2025-07-24 14:00:00,billing,medium,resolved,12.1,Request to change billing date to align with pay schedule.
TKT-009433,CUST-00401,2025-09-11 10:00:00,general,medium,open,,Customer inquiring about referral program benefits.
TKT-009434,CUST-00981,2025-10-13 14:00:00,billing,medium,escalated,,Payment processing error reported — double charge on credit card.
TKT-009435,CUST-02203,2025-07-22 13:00:00,upgrade,medium,resolved,6.1,Request to add international calling to phone plan.
TKT-009436,CUST-00529,2025-01-06 13:00:00,cancellation,critical,resolved,3.5,Account cancellation requested — switching to competitor.
TKT-009437,CUST-04167,2025-02-07 15:00:00,upgrade,high,resolved,1.6,Request to add international calling to phone plan.
TKT-009438,CUST-04736,2025-03-31 11:00:00,technical,high,open,,Customer unable to stream video — buffering issues during peak hours.
TKT-009439,CUST-00513,2025-02-23 09:00:00,technical,medium,resolved,13.5,Slow download speeds not matching subscribed plan tier.
TKT-009440,CUST-00060,2025-08-29 11:00:00,general,medium,resolved,40.7,General inquiry about contract renewal terms.
TKT-009441,CUST-02664,2025-01-14 13:00:00,upgrade,medium,resolved,25.1,Customer wants to upgrade from DSL to fiber optic service.
TKT-009442,CUST-03132,2025-11-11 18:00:00,general,medium,resolved,72.2,Customer inquiring about referral program benefits.
TKT-009443,CUST-02528,2025-11-29 19:00:00,technical,low,resolved,8.3,Intermittent internet connectivity — customer reports frequent drops.
TKT-009444,CUST-02226,2025-04-08 18:00:00,upgrade,medium,resolved,38.7,Inquiry about adding streaming package to current plan.
TKT-009445,CUST-02510,2025-08-02 11:00:00,cancellation,high,resolved,5.2,Customer threatening to cancel unless given a better rate.
TKT-009446,CUST-04513,2025-01-02 12:00:00,technical,medium,resolved,27.4,Router not connecting after power outage — needs reset instructions.
TKT-009447,CUST-00062,2025-12-13 09:00:00,technical,medium,resolved,17.3,Customer unable to stream video — buffering issues during peak hours.
TKT-009448,CUST-04554,2025-01-11 13:00:00,billing,medium,open,,Customer inquired about unexpected charge on their latest bill.
TKT-009449,CUST-03219,2025-10-29 15:00:00,general,medium,resolved,40.1,Customer asking about available loyalty rewards.
TKT-009450,CUST-00933,2025-11-14 14:00:00,billing,medium,resolved,22.5,Request to change billing date to align with pay schedule.
TKT-009451,CUST-00612,2025-10-31 12:00:00,general,medium,escalated,,Customer requesting update to account contact information.
TKT-009452,CUST-03426,2025-07-05 08:00:00,technical,high,resolved,1.0,DNS resolution failures reported across multiple devices.
TKT-009453,CUST-02467,2025-08-15 19:00:00,upgrade,medium,resolved,69.4,Request to add international calling to phone plan.
